Time,Country Code,AG.LND.FRST.K2,AG.PRD.LVSK.XD,EG.ELC.RNWX.KH,EG.FEC.RNEW.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.PC,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG,SP.POP.GROW,SP.POP.TOTL,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
1960,QAT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36385,NaN,31027,85.275
1960,ROU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18406905,NaN,6296818,34.209
1960,RUS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,119897000,NaN,64421857,53.731
1960,RWA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,341.792825308173,NaN,NaN,2966162,NaN,77120,2.6
1960,SAU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4165563,NaN,1301738,31.25
1960,SDN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1407.06262207031,NaN,NaN,8326462,NaN,894762,10.746
1960,SEN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1174.81917472964,NaN,NaN,3273177,NaN,752831,23
1960,SGP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3611.95365142064,NaN,NaN,1646400,NaN,1646400,100
1960,SLB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133440,NaN,7697,5.768
1960,SLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,497.418490672238,NaN,NaN,2301310,NaN,399323,17.352
1960,SLV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2779327,NaN,1065983,38.354
1960,SMR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15556,NaN,7607,48.9
1960,SOM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2870732,NaN,496981,17.312
1960,SRB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6608000,NaN,1920549,29.064
1960,SSD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2907724,NaN,254368,8.748
1960,STP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68038,NaN,10936,16.073
1960,SUR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3874.26613328025,NaN,NaN,268396,NaN,126844,47.26
1960,SVK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4068095,NaN,1361347,33.464
1960,SVN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1584720,NaN,446954,28.204
